,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,0.37,-0.91,-0.27,559,Standing
2,0.41,-0.88,-0.25,599,Standing
3,0.35,-0.89,-0.28,640,Standing
4,0.4,-0.78,-0.25,680,Standing
5,0.43,-0.84,-0.27,721,Standing
6,0.36,-0.92,-0.32,762,Standing
7,0.35,-0.86,-0.27,803,Standing
8,0.38,-0.88,-0.3,844,Standing
9,0.37,-0.88,-0.29,885,Standing
10,0.39,-0.87,-0.28,926,Standing
11,0.38,-0.88,-0.27,968,Standing
12,0.38,-0.87,-0.27,1009,Standing
13,0.37,-0.87,-0.27,1050,Standing
14,0.38,-0.85,-0.27,1090,Standing
15,0.3,-0.87,-0.28,1131,Standing
16,0.36,-0.88,-0.27,1171,Standing
17,0.39,-0.87,-0.29,1212,Standing
18,0.32,-0.88,-0.25,1254,Standing
19,0.39,-0.89,-0.25,1295,Standing
20,0.4,-0.88,-0.28,1336,Standing
21,0.35,-0.88,-0.27,1376,Standing
22,0.37,-0.88,-0.28,1417,Standing
23,0.35,-0.88,-0.29,1457,Standing
24,0.37,-0.88,-0.29,1498,Standing
25,0.37,-0.88,-0.28,1538,Standing
26,0.36,-0.88,-0.27,1579,Standing
27,0.37,-0.88,-0.26,1620,Standing
28,0.36,-0.89,-0.26,1660,Standing
29,0.37,-0.87,-0.27,1701,Standing
30,0.37,-0.87,-0.27,1741,Standing
31,0.36,-0.88,-0.26,1782,Standing
32,0.37,-0.87,-0.27,1822,Standing
33,0.36,-0.88,-0.26,1863,Standing
34,0.36,-0.87,-0.25,1903,Standing
35,0.37,-0.87,-0.27,1943,Standing
36,0.37,-0.87,-0.27,1984,Standing
37,0.36,-0.88,-0.27,2024,Standing
38,0.37,-0.89,-0.28,2065,Standing
39,0.37,-0.88,-0.27,2105,Standing
40,0.37,-0.87,-0.27,2147,Standing
41,0.37,-0.88,-0.27,2188,Standing
42,0.36,-0.87,-0.26,2228,Standing
43,0.0,0.0,0.0,520,Standing
44,0.05,-0.99,-0.03,560,Standing
45,0.04,-0.99,-0.04,601,Standing
46,0.04,-0.97,-0.04,643,Standing
47,0.04,-1.0,-0.02,684,Standing
48,0.04,-1.0,-0.02,724,Standing
49,0.05,-0.99,-0.02,765,Standing
50,0.05,-1.0,-0.03,805,Standing
51,0.05,-1.0,-0.03,846,Standing
