,x,y,z,t,activity
0,0.0,0.0,0.0,520,Standing
1,0.83,0.43,0.31,561,Standing
2,0.81,0.47,0.31,602,Standing
3,0.84,0.43,0.32,643,Standing
4,0.83,0.48,0.37,683,Standing
5,0.77,0.41,0.44,724,Standing
6,0.82,0.42,0.48,765,Standing
7,0.81,0.35,0.54,805,Standing
8,0.77,0.31,0.52,845,Standing
9,0.79,0.3,0.54,885,Standing
10,0.79,0.29,0.55,925,Standing
11,0.77,0.29,0.58,966,Standing
12,0.72,0.33,0.62,1006,Standing
13,0.71,0.29,0.68,1047,Standing
14,0.69,0.3,0.75,1087,Standing
15,0.62,0.27,0.82,1128,Standing
16,0.58,0.25,0.84,1168,Standing
17,0.52,0.24,0.84,1209,Standing
18,0.53,0.22,0.84,1250,Standing
19,0.48,0.19,0.86,1291,Standing
20,0.49,0.21,0.86,1331,Standing
21,0.45,0.17,0.88,1372,Standing
22,0.42,0.19,0.84,1413,Standing
23,0.42,0.19,0.89,1453,Standing
24,0.43,0.21,0.89,1494,Standing
25,0.45,0.19,0.87,1537,Standing
26,0.47,0.23,0.82,1579,Standing
27,0.55,0.25,0.81,1619,Standing
28,0.52,0.27,0.77,1660,Standing
29,0.67,0.31,0.72,1701,Standing
30,0.61,0.3,0.75,1742,Standing
31,0.75,0.31,0.62,1782,Standing
32,0.8,0.31,0.64,1823,Standing
33,0.75,0.32,0.54,1864,Standing
34,0.88,0.33,0.43,1905,Standing
35,0.86,0.31,0.56,1945,Standing
36,0.83,0.36,0.45,1986,Standing
37,0.92,0.43,0.35,2027,Standing
38,0.91,0.39,0.44,2068,Standing
39,0.92,0.37,0.39,2108,Standing
40,0.97,0.34,0.37,2149,Standing
41,0.88,0.31,0.36,2190,Standing
42,0.92,0.32,0.36,2231,Standing
43,0.98,0.34,0.33,2271,Standing
44,0.91,0.34,0.32,2312,Standing
45,0.92,0.32,0.32,2353,Standing
46,0.96,0.31,0.35,2394,Standing
47,0.92,0.3,0.32,2434,Standing
48,0.97,0.28,0.35,2475,Standing
49,0.97,0.26,0.37,2515,Standing
50,0.9,0.25,0.39,2556,Standing
51,0.87,0.26,0.39,2596,Standing
52,0.86,0.3,0.34,2637,Standing
53,0.89,0.23,0.4,2678,Standing
54,0.93,0.27,0.36,2719,Standing
55,0.91,0.29,0.34,2759,Standing
56,0.92,0.27,0.41,2800,Standing
57,0.92,0.25,0.43,2841,Standing
58,0.92,0.26,0.41,2882,Standing
59,0.89,0.24,0.41,2922,Standing
60,0.89,0.23,0.41,2963,Standing
61,0.91,0.26,0.37,3004,Standing
62,0.91,0.27,0.38,3045,Standing
63,0.89,0.27,0.41,3085,Standing
64,0.9,0.27,0.42,3126,Standing
65,0.9,0.25,0.45,3167,Standing
66,0.87,0.26,0.43,3207,Standing
67,0.9,0.27,0.47,3248,Standing
68,0.86,0.27,0.49,3289,Standing
69,0.86,0.28,0.47,3330,Standing
70,0.92,0.29,0.44,3372,Standing
71,0.85,0.27,0.47,3412,Standing
72,0.87,0.28,0.48,3453,Standing
73,0.86,0.27,0.5,3494,Standing
74,0.8,0.27,0.52,3534,Standing
75,0.79,0.23,0.55,3575,Standing
76,0.79,0.21,0.52,3616,Standing
77,0.73,0.15,0.57,3657,Standing
78,0.64,0.1,0.55,3697,Standing
79,0.63,0.09,0.49,3738,Standing
80,0.55,0.0,0.46,3779,Standing
