,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,0.73,0.2,0.6,559,Standing
2,0.79,0.11,0.65,599,Standing
3,0.77,0.04,0.7,640,Standing
4,0.63,-0.01,0.75,681,Standing
5,0.58,-0.0,0.84,722,Standing
6,0.55,-0.03,0.88,763,Standing
7,0.49,-0.04,0.88,803,Standing
8,0.47,-0.05,0.89,844,Standing
9,0.52,-0.08,0.9,885,Standing
10,0.5,-0.05,0.89,926,Standing
11,0.51,-0.04,0.92,966,Standing
12,0.52,-0.05,0.93,1007,Standing
13,0.5,-0.07,0.95,1048,Standing
14,0.47,-0.09,0.99,1088,Standing
15,0.45,-0.11,0.96,1129,Standing
16,0.46,-0.15,0.94,1170,Standing
17,0.38,-0.17,0.92,1211,Standing
18,0.35,-0.19,0.99,1252,Standing
19,0.3,-0.21,1.0,1293,Standing
20,0.27,-0.21,1.0,1334,Standing
21,0.27,-0.24,0.98,1376,Standing
22,0.2,-0.21,0.98,1417,Standing
23,0.19,-0.2,1.01,1458,Standing
24,0.22,-0.21,1.0,1499,Standing
25,0.24,-0.22,0.99,1540,Standing
26,0.22,-0.23,1.01,1581,Standing
27,0.25,-0.25,1.04,1622,Standing
28,0.32,-0.29,1.04,1664,Standing
29,0.4,-0.3,1.06,1704,Standing
30,0.38,-0.33,0.98,1745,Standing
31,0.39,-0.35,0.93,1786,Standing
32,0.4,-0.4,0.91,1827,Standing
33,0.35,-0.44,0.82,1867,Standing
34,0.37,-0.54,0.81,1908,Standing
35,0.41,-0.66,0.82,1949,Standing
36,0.41,-0.65,0.79,1990,Standing
37,0.46,-0.59,0.78,2030,Standing
38,0.49,-0.59,0.79,2071,Standing
39,0.45,-0.64,0.81,2112,Standing
40,0.4,-0.7,0.74,2153,Standing
41,0.41,-0.81,0.69,2193,Standing
42,0.4,-0.83,0.66,2234,Standing
43,0.43,-0.9,0.63,2275,Standing
44,0.47,-0.93,0.58,2316,Standing
45,0.43,-0.89,0.58,2356,Standing
46,0.37,-0.89,0.52,2397,Standing
47,0.43,-0.96,0.46,2438,Standing
48,0.39,-0.91,0.41,2479,Standing
49,0.39,-0.88,0.36,2520,Standing
50,0.44,-0.82,0.33,2560,Standing
51,0.43,-0.77,0.29,2600,Standing
52,0.34,-0.67,0.28,2641,Standing
53,0.28,-0.62,0.27,2682,Standing
54,0.3,-0.67,0.27,2722,Standing
55,0.3,-0.79,0.27,2763,Standing
56,0.28,-0.86,0.28,2804,Standing
