,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,0.45,-0.82,0.38,559,Standing
2,0.48,-0.85,0.32,601,Standing
3,0.62,-0.79,0.31,641,Standing
4,0.43,-0.8,0.34,681,Standing
5,0.48,-0.84,0.34,722,Standing
6,0.49,-0.82,0.35,762,Standing
7,0.42,-0.83,0.36,803,Standing
8,0.45,-0.82,0.35,843,Standing
9,0.48,-0.83,0.37,884,Standing
10,0.54,-0.86,0.39,925,Standing
11,0.54,-1.17,0.35,965,Standing
12,0.57,-0.82,0.43,1006,Standing
13,0.47,-0.63,0.45,1047,Standing
14,0.45,-0.73,0.47,1088,Standing
15,0.5,-0.71,0.43,1129,Standing
16,0.49,-0.72,0.4,1170,Standing
17,0.45,-0.79,0.45,1211,Standing
18,0.39,-0.81,0.46,1252,Standing
19,0.54,-0.75,0.47,1293,Standing
20,0.47,-0.7,0.47,1334,Standing
21,0.54,-0.82,0.45,1375,Standing
22,0.42,-0.77,0.53,1416,Standing
23,0.46,-0.79,0.5,1457,Standing
24,0.3,-0.75,0.58,1498,Standing
25,0.35,-0.76,0.63,1539,Standing
26,0.32,-0.74,0.63,1580,Standing
27,0.27,-0.74,0.63,1620,Standing
28,0.13,-0.7,0.66,1660,Standing
29,0.18,-0.7,0.66,1701,Standing
30,0.14,-0.68,0.7,1742,Standing
31,0.13,-0.7,0.71,1783,Standing
32,0.16,-0.74,0.77,1824,Standing
33,0.18,-0.74,0.75,1865,Standing
34,0.17,-0.71,0.76,1906,Standing
35,0.17,-0.7,0.74,1946,Standing
36,0.15,-0.68,0.72,1987,Standing
37,0.14,-0.67,0.73,2028,Standing
38,0.12,-0.69,0.76,2069,Standing
39,0.13,-0.7,0.76,2110,Standing
40,0.13,-0.7,0.77,2151,Standing
41,0.14,-0.69,0.76,2191,Standing
42,0.14,-0.7,0.75,2232,Standing
43,0.07,-0.7,0.71,2273,Standing
44,0.14,-0.7,0.73,2314,Standing
45,0.08,-0.66,0.71,2355,Standing
46,0.12,-0.67,0.78,2396,Standing
47,0.13,-0.69,0.73,2437,Standing
48,0.07,-0.68,0.72,2478,Standing
49,0.16,-0.65,0.76,2519,Standing
50,0.11,-0.69,0.77,2561,Standing
51,0.14,-0.63,0.8,2601,Standing
52,0.1,-0.67,0.78,2642,Standing
53,0.13,-0.64,0.79,2683,Standing
54,0.14,-0.65,0.76,2724,Standing
55,0.09,-0.69,0.69,2765,Standing
56,0.16,-0.7,0.76,2805,Standing
57,0.14,-0.7,0.74,2846,Standing
58,0.13,-0.72,0.75,2887,Standing
59,0.19,-0.64,0.74,2928,Standing
60,0.15,-0.7,0.77,2969,Standing
61,0.15,-0.69,0.76,3010,Standing
62,0.13,-0.66,0.81,3050,Standing
63,0.14,-0.68,0.77,3091,Standing
64,0.19,-0.66,0.73,3132,Standing
65,0.16,-0.66,0.72,3173,Standing
66,0.14,-0.65,0.75,3214,Standing
67,0.15,-0.68,0.76,3255,Standing
68,0.15,-0.68,0.78,3296,Standing
69,0.14,-0.67,0.75,3337,Standing
70,0.15,-0.66,0.77,3378,Standing
71,0.14,-0.65,0.76,3419,Standing
72,0.16,-0.66,0.76,3459,Standing
