,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,0.88,-0.41,-0.1,559,Standing
2,0.92,-0.43,-0.09,599,Standing
3,0.93,-0.47,-0.09,640,Standing
4,0.9,-0.45,-0.07,681,Standing
5,0.88,-0.48,-0.06,722,Standing
6,0.86,-0.48,-0.04,763,Standing
7,0.84,-0.43,-0.07,803,Standing
8,0.98,-0.57,0.01,844,Standing
9,0.8,-0.54,0.03,885,Standing
10,0.84,-0.52,0.07,926,Standing
11,0.8,-0.51,0.07,967,Standing
12,0.89,-0.68,0.01,1008,Standing
13,0.83,-0.67,0.04,1049,Standing
14,0.71,-0.46,-0.01,1090,Standing
15,0.79,-0.32,-0.1,1130,Standing
16,0.91,-0.32,0.02,1170,Standing
17,0.88,-0.49,0.02,1211,Standing
18,0.96,-0.6,0.07,1252,Standing
19,0.83,-0.63,-0.0,1292,Standing
20,0.86,-0.6,0.11,1333,Standing
21,0.82,-0.56,0.1,1373,Standing
22,0.88,-0.54,0.11,1414,Standing
23,0.86,-0.5,0.11,1455,Standing
24,0.82,-0.48,-0.08,1497,Standing
25,0.97,-0.5,0.19,1538,Standing
26,0.5,-0.33,0.32,1580,Standing
27,0.78,-0.51,0.41,1620,Standing
28,0.63,-0.46,0.35,1660,Standing
29,0.86,-0.6,0.24,1701,Standing
30,0.99,-0.7,0.17,1741,Standing
31,1.0,-0.65,0.08,1782,Standing
32,0.9,-0.61,0.03,1822,Standing
33,0.95,-0.55,0.04,1863,Standing
34,0.86,-0.52,0.09,1904,Standing
35,0.8,-0.6,0.12,1944,Standing
36,0.81,-0.63,0.26,1985,Standing
37,0.8,-0.74,0.18,2025,Standing
38,0.7,-0.64,0.27,2066,Standing
39,0.7,-0.67,0.22,2106,Standing
40,0.87,-0.64,0.16,2147,Standing
41,0.82,-0.68,0.16,2189,Standing
42,0.78,-0.62,0.23,2230,Standing
43,0.79,-0.6,0.22,2271,Standing
44,0.67,-0.62,0.15,2311,Standing
45,0.7,-0.61,0.37,2352,Standing
46,0.66,-0.56,0.46,2392,Standing
47,0.57,-0.62,0.45,2433,Standing
48,0.68,-0.59,0.62,2473,Standing
49,0.54,-0.52,0.65,2514,Standing
50,0.66,-0.62,0.64,2554,Standing
51,0.37,-0.65,0.61,2595,Standing
52,0.52,-0.57,0.71,2636,Standing
53,0.39,-0.51,0.75,2676,Standing
54,0.3,-0.54,0.68,2717,Standing
55,0.21,-0.53,0.74,2757,Standing
56,0.05,-0.64,0.77,2798,Standing
57,0.15,-0.58,0.96,2838,Standing
58,0.02,-0.56,0.92,2879,Standing
59,-0.07,-0.49,0.82,2919,Standing
60,-0.22,-0.49,0.66,2960,Standing
61,-0.13,-0.55,0.69,3000,Standing
62,-0.19,-0.58,0.65,3040,Standing
63,-0.15,-0.59,0.64,3080,Standing
64,-0.07,-0.69,0.65,3120,Standing
65,0.02,-0.7,0.72,3162,Standing
66,0.06,-0.73,0.71,3203,Standing
67,0.08,-0.9,0.7,3244,Standing
68,0.34,-1.05,1.2,3286,Standing
69,0.41,-1.09,1.2,3326,Standing
70,0.77,-1.04,1.36,3366,Standing
71,0.68,-0.8,1.34,3407,Standing
72,0.32,-0.46,0.84,3447,Standing
73,0.15,-0.43,0.77,3488,Standing
74,0.04,-0.36,0.52,3528,Standing
75,0.17,-0.25,0.61,3569,Standing
76,0.05,-0.14,0.55,3609,Standing
77,0.12,-0.12,0.62,3650,Standing
78,-0.01,-0.22,0.77,3690,Standing
79,-0.12,-0.19,0.78,3730,Standing
80,-0.18,-0.16,0.85,3771,Standing
81,-0.36,-0.12,0.89,3811,Standing
82,-0.33,-0.01,0.98,3851,Standing
83,-0.36,-0.12,0.96,3891,Standing
84,-0.24,-0.08,0.97,3931,Standing
85,-0.22,-0.13,0.98,3971,Standing
86,-0.25,-0.1,1.04,4012,Standing
87,-0.29,-0.1,1.05,4054,Standing
88,-0.33,-0.14,1.08,4096,Standing
89,-0.34,-0.16,1.01,4137,Standing
90,-0.36,-0.08,0.9,4177,Standing
91,-0.19,-0.09,0.95,4217,Standing
92,-0.22,-0.07,1.04,4257,Standing
93,-0.28,-0.02,1.04,4299,Standing
94,-0.23,-0.06,1.04,4340,Standing
95,-0.16,-0.07,1.01,4380,Standing
96,-0.14,-0.04,1.03,4420,Standing
97,-0.13,-0.03,1.05,4460,Standing
98,-0.15,-0.02,1.04,4500,Standing
99,-0.14,-0.03,1.02,4540,Standing
100,-0.14,-0.05,1.01,4581,Standing
101,-0.14,-0.05,1.02,4621,Standing
102,-0.14,-0.05,1.01,4661,Standing
103,-0.2,-0.05,1.0,4701,Standing
104,-0.23,-0.07,1.02,4741,Standing
105,-0.2,-0.08,1.03,4781,Standing
106,-0.18,-0.11,1.0,4822,Standing
107,-0.18,-0.13,1.0,4864,Standing
108,-0.13,-0.09,0.96,4905,Standing
109,-0.09,-0.07,0.99,4945,Standing
110,-0.04,-0.06,1.02,4985,Standing
111,-0.03,-0.07,1.06,5025,Standing
112,-0.0,-0.13,1.07,5065,Standing
113,-0.01,-0.19,1.05,5106,Standing
114,-0.03,-0.22,1.0,5146,Standing
115,-0.06,-0.24,0.97,5186,Standing
116,-0.09,-0.25,0.88,5226,Standing
117,-0.12,-0.25,0.85,5266,Standing
118,-0.05,-0.27,0.84,5308,Standing
119,0.14,-0.34,1.06,5349,Standing
120,0.09,-0.34,1.05,5389,Standing
121,0.09,-0.31,1.15,5430,Standing
122,0.26,-0.32,1.29,5470,Standing
123,0.42,-0.28,1.26,5511,Standing
124,0.53,-0.22,1.3,5551,Standing
125,0.75,-0.29,1.39,5592,Standing
126,0.81,-0.22,1.17,5632,Standing
127,0.73,-0.11,0.85,5672,Standing
128,0.58,-0.05,0.49,5712,Standing
129,0.35,0.09,0.26,5753,Standing
130,0.29,0.02,0.18,5794,Standing
131,0.14,-0.01,0.07,5834,Standing
132,0.04,-0.08,-0.07,5875,Standing
133,0.02,-0.18,-0.04,5915,Standing
134,0.41,-0.51,0.06,5955,Standing
135,0.68,-0.99,0.33,5996,Standing
136,0.85,-1.35,0.76,6038,Standing
137,0.86,-1.55,0.55,6079,Standing
138,0.93,-1.42,0.39,6120,Standing
139,0.93,-1.09,0.73,6160,Standing
140,0.7,-0.84,0.75,6201,Standing
141,0.69,-0.87,0.55,6241,Standing
142,0.62,-0.91,0.5,6282,Standing
143,0.39,-0.97,0.33,6322,Standing
144,0.27,-0.86,0.32,6363,Standing
145,0.14,-0.85,0.14,6403,Standing
146,-0.02,-0.78,0.15,6444,Standing
