,x,y,z,t,activity
0,0.97,0.23,0.0,539,Standing
1,0.96,0.23,-0.01,579,Standing
2,0.95,0.22,-0.02,620,Standing
3,0.94,0.21,-0.02,660,Standing
4,0.96,0.23,-0.01,701,Standing
5,0.97,0.22,-0.02,742,Standing
6,0.95,0.21,-0.02,783,Standing
7,0.94,0.2,-0.01,824,Standing
8,0.95,0.17,0.04,864,Standing
9,0.93,0.16,0.05,904,Standing
10,0.8,0.22,0.12,945,Standing
11,0.78,0.16,-0.03,986,Standing
12,0.9,0.13,-0.02,1027,Standing
13,0.92,0.03,0.11,1067,Standing
14,0.94,-0.01,0.09,1107,Standing
15,0.95,-0.02,0.06,1148,Standing
16,1.02,-0.05,0.03,1188,Standing
17,1.06,-0.12,0.08,1229,Standing
18,1.03,-0.16,0.11,1269,Standing
19,1.06,-0.2,0.11,1310,Standing
20,1.03,-0.22,0.13,1350,Standing
21,1.01,-0.23,0.1,1391,Standing
22,0.98,-0.21,0.07,1431,Standing
23,1.05,-0.25,-0.01,1472,Standing
24,1.06,-0.26,-0.04,1512,Standing
25,1.05,-0.28,-0.01,1552,Standing
26,1.0,-0.28,-0.03,1592,Standing
27,0.99,-0.28,-0.02,1632,Standing
28,0.98,-0.28,-0.01,1674,Standing
29,0.98,-0.27,0.01,1716,Standing
30,0.96,-0.26,0.02,1757,Standing
31,0.95,-0.24,0.01,1797,Standing
32,0.95,-0.23,0.01,1837,Standing
33,0.96,-0.24,0.0,1878,Standing
34,0.97,-0.25,-0.01,1920,Standing
35,0.96,-0.25,-0.0,1961,Standing
36,0.96,-0.25,0.0,2001,Standing
37,0.96,-0.23,0.0,2041,Standing
38,0.96,-0.24,-0.01,2082,Standing
39,0.98,-0.23,-0.02,2122,Standing
40,0.98,-0.24,-0.02,2162,Standing
41,0.97,-0.24,-0.0,2202,Standing
42,0.98,-0.24,-0.0,2242,Standing
43,0.98,-0.25,-0.0,2282,Standing
44,0.98,-0.25,-0.0,2322,Standing
45,0.98,-0.25,-0.01,2362,Standing
46,0.99,-0.26,-0.01,2402,Standing
47,0.99,-0.27,-0.0,2442,Standing
48,0.98,-0.26,-0.01,2482,Standing
49,0.98,-0.25,0.01,2522,Standing
50,0.99,-0.25,0.0,2562,Standing
51,0.98,-0.25,-0.02,2604,Standing
52,0.97,-0.22,-0.04,2646,Standing
53,0.96,-0.23,-0.04,2688,Standing
54,0.96,-0.23,-0.07,2729,Standing
55,0.96,-0.22,-0.11,2769,Standing
