,x,y,z,t,activity
0,0.49,-0.77,0.35,551,Standing
1,0.51,-0.79,0.44,591,Standing
2,0.5,-0.77,0.37,633,Standing
3,0.48,-0.77,0.39,673,Standing
4,0.5,-0.78,0.39,715,Standing
5,0.45,-0.79,0.35,755,Standing
6,0.44,-0.8,0.41,797,Standing
7,0.43,-0.82,0.37,837,Standing
8,0.43,-0.84,0.36,879,Standing
9,0.38,-0.82,0.37,919,Standing
10,0.37,-0.83,0.36,959,Standing
11,0.37,-0.84,0.4,1001,Standing
12,0.43,-0.87,0.37,1048,Standing
13,0.37,-0.88,0.4,1088,Standing
14,0.42,-0.89,0.39,1128,Standing
15,0.39,-0.88,0.41,1168,Standing
16,0.43,-0.86,0.35,1208,Standing
17,0.4,-0.89,0.45,1248,Standing
18,0.39,-0.89,0.32,1288,Standing
19,0.39,-0.91,0.39,1328,Standing
20,0.43,-0.89,0.34,1368,Standing
21,0.42,-0.88,0.36,1408,Standing
22,0.43,-0.88,0.32,1451,Standing
23,0.39,-0.91,0.33,1494,Standing
24,0.41,-0.91,0.31,1537,Standing
25,0.39,-0.88,0.29,1580,Standing
26,0.41,-0.89,0.32,1623,Standing
27,0.39,-0.91,0.3,1665,Standing
28,0.35,-0.92,0.34,1708,Standing
29,0.39,-0.88,0.29,1751,Standing
30,0.38,-0.88,0.31,1794,Standing
31,0.36,-0.89,0.25,1837,Standing
32,0.37,-0.87,0.3,1880,Standing
33,0.34,-0.92,0.36,1920,Standing
34,0.36,-0.92,0.28,1963,Standing
35,0.36,-0.88,0.32,2006,Standing
36,0.36,-0.89,0.28,2049,Standing
37,0.37,-0.91,0.27,2092,Standing
38,0.37,-0.93,0.34,2135,Standing
39,0.36,-0.91,0.28,2178,Standing
40,0.34,-0.93,0.25,2220,Standing
41,0.37,-0.93,0.25,2263,Standing
42,0.33,-0.88,0.28,2306,Standing
43,0.32,-0.93,0.28,2349,Standing
44,0.34,-0.91,0.24,2392,Standing
45,0.33,-0.91,0.29,2432,Standing
46,0.33,-0.92,0.33,2475,Standing
47,0.32,-0.91,0.27,2518,Standing
48,0.35,-0.88,0.25,2561,Standing
49,0.36,-0.92,0.29,2604,Standing
50,0.37,-0.93,0.3,2647,Standing
51,0.36,-0.91,0.34,2689,Standing
52,0.38,-0.98,0.35,2729,Standing
53,0.34,-0.92,0.28,2769,Standing
54,0.36,-0.82,0.28,2809,Standing
55,0.32,-0.86,0.41,2849,Standing
56,0.36,-0.86,0.3,2889,Standing
57,0.32,-0.86,0.32,2929,Standing
58,0.33,-0.9,0.34,2969,Standing
59,0.33,-0.9,0.29,3009,Standing
60,0.35,-0.93,0.32,3049,Standing
61,0.34,-0.98,0.35,3089,Standing
62,0.34,-0.97,0.31,3129,Standing
63,0.32,-0.89,0.34,3169,Standing
64,0.32,-0.88,0.34,3211,Standing
65,0.32,-0.91,0.23,3251,Standing
66,0.34,-0.95,0.23,3291,Standing
67,0.36,-0.91,0.26,3331,Standing
68,0.34,-0.94,0.27,3371,Standing
69,0.33,-0.91,0.3,3414,Standing
70,0.33,-0.93,0.32,3457,Standing
71,0.34,-0.91,0.33,3500,Standing
72,0.33,-0.91,0.28,3543,Standing
73,0.32,-0.92,0.35,3586,Standing
74,0.36,-0.91,0.27,3629,Standing
75,0.33,-0.88,0.28,3672,Standing
76,0.3,-0.92,0.35,3712,Standing
77,0.32,-0.93,0.25,3755,Standing
78,0.33,-0.91,0.21,3798,Standing
79,0.3,-0.93,0.32,3841,Standing
80,0.34,-0.93,0.3,3884,Standing
81,0.33,-0.93,0.25,3927,Standing
82,0.33,-0.91,0.3,3970,Standing
83,0.34,-0.93,0.24,4012,Standing
84,0.31,-0.91,0.3,4055,Standing
85,0.32,-0.91,0.26,4098,Standing
86,0.32,-0.92,0.3,4141,Standing
87,0.34,-0.93,0.32,4184,Standing
88,0.33,-0.89,0.34,4224,Standing
89,0.32,-0.91,0.42,4267,Standing
90,0.36,-0.9,0.34,4310,Standing
91,0.31,-0.91,0.27,4353,Standing
92,0.32,-0.89,0.21,4396,Standing
93,0.32,-0.92,0.32,4438,Standing
94,0.33,-0.9,0.3,4481,Standing
95,0.33,-0.91,0.32,4524,Standing
96,0.35,-0.9,0.28,4567,Standing
97,0.36,-0.92,0.36,4610,Standing
98,0.33,-0.89,0.33,4653,Standing
99,0.37,-0.92,0.28,4696,Standing
100,0.32,-0.9,0.34,4736,Standing
101,0.36,-0.9,0.35,4779,Standing
102,0.34,-0.91,0.29,4822,Standing
103,0.34,-0.91,0.25,4865,Standing
104,0.34,-0.92,0.29,4907,Standing
105,0.36,-0.92,0.25,4947,Standing
106,0.34,-0.91,0.32,4987,Standing
107,0.34,-0.93,0.27,5027,Standing
108,0.34,-0.9,0.34,5067,Standing
109,0.36,-0.89,0.36,5107,Standing
110,0.34,-0.9,0.28,5147,Standing
111,0.34,-0.91,0.29,5187,Standing
112,0.34,-0.94,0.36,5229,Standing
113,0.36,-0.89,0.3,5269,Standing
114,0.37,-0.88,0.32,5309,Standing
115,0.36,-0.91,0.41,5349,Standing
116,0.37,-0.89,0.32,5389,Standing
117,0.37,-0.89,0.27,5429,Standing
118,0.36,-0.91,0.29,5469,Standing
119,0.37,-0.91,0.27,5509,Standing
120,0.34,-0.91,0.31,5549,Standing
121,0.35,-0.91,0.34,5592,Standing
122,0.37,-0.92,0.3,5632,Standing
123,0.37,-0.9,0.32,5675,Standing
124,0.38,-0.87,0.31,5718,Standing
125,0.37,-0.88,0.31,5761,Standing
126,0.36,-0.86,0.3,5804,Standing
127,0.39,-0.89,0.35,5847,Standing
128,0.39,-0.88,0.32,5890,Standing
129,0.39,-0.9,0.32,5932,Standing
130,0.39,-0.92,0.31,5975,Standing
131,0.39,-0.88,0.28,6018,Standing
132,0.37,-0.9,0.29,6061,Standing
133,0.37,-0.87,0.32,6104,Standing
134,0.39,-0.91,0.32,6144,Standing
135,0.36,-0.89,0.29,6187,Standing
136,0.37,-0.89,0.24,6230,Standing
137,0.39,-0.91,0.27,6273,Standing
138,0.36,-0.92,0.32,6316,Standing
139,0.37,-0.88,0.31,6359,Standing
140,0.36,-0.88,0.32,6402,Standing
141,0.34,-0.88,0.3,6445,Standing
142,0.37,-0.91,0.3,6487,Standing
143,0.39,-0.91,0.29,6530,Standing
144,0.39,-0.88,0.29,6573,Standing
145,0.37,-0.89,0.32,6616,Standing
146,0.38,-0.88,0.29,6656,Standing
147,0.38,-0.89,0.27,6699,Standing
148,0.37,-0.88,0.32,6742,Standing
149,0.4,-0.9,0.32,6785,Standing
150,0.36,-0.88,0.3,6828,Standing
151,0.38,-0.89,0.29,6870,Standing
152,0.36,-0.89,0.27,6913,Standing
153,0.36,-0.89,0.26,6956,Standing
154,0.38,-0.89,0.29,6999,Standing
155,0.36,-0.89,0.32,7042,Standing
156,0.39,-0.93,0.35,7085,Standing
157,0.37,-0.89,0.32,7128,Standing
158,0.37,-0.91,0.32,7168,Standing
159,0.38,-0.88,0.34,7211,Standing
160,0.39,-0.91,0.28,7252,Standing
161,0.37,-0.9,0.29,7292,Standing
162,0.36,-0.91,0.27,7333,Standing
163,0.39,-0.91,0.27,7375,Standing
164,0.37,-0.89,0.25,7415,Standing
165,0.37,-0.91,0.26,7455,Standing
166,0.4,-0.91,0.32,7495,Standing
167,0.37,-0.88,0.31,7535,Standing
168,0.36,-0.89,0.31,7575,Standing
169,0.36,-0.9,0.32,7615,Standing
170,0.39,-0.9,0.34,7655,Standing
171,0.36,-0.92,0.24,7695,Standing
172,0.36,-0.89,0.28,7735,Standing
173,0.37,-0.92,0.33,7775,Standing
174,0.36,-0.92,0.37,7815,Standing
175,0.36,-0.91,0.28,7855,Standing
176,0.39,-0.91,0.32,7895,Standing
177,0.36,-0.89,0.29,7938,Standing
178,0.39,-0.89,0.28,7981,Standing
179,0.39,-0.89,0.27,8024,Standing
180,0.38,-0.9,0.3,8064,Standing
181,0.4,-0.91,0.17,8107,Standing
182,0.36,-0.89,0.33,8150,Standing
183,0.35,-0.89,0.28,8193,Standing
184,0.36,-0.91,0.3,8236,Standing
185,0.39,-0.88,0.28,8278,Standing
186,0.36,-0.88,0.25,8321,Standing
187,0.39,-0.89,0.28,8364,Standing
188,0.37,-0.92,0.29,8407,Standing
189,0.35,-0.89,0.29,8450,Standing
190,0.37,-0.91,0.3,8493,Standing
191,0.39,-0.91,0.3,8536,Standing
192,0.39,-0.84,0.25,8576,Standing
193,0.38,-0.88,0.32,8619,Standing
194,0.4,-0.88,0.25,8662,Standing
195,0.41,-0.91,0.25,8705,Standing
196,0.37,-0.88,0.32,8747,Standing
197,0.37,-0.86,0.27,8787,Standing
198,0.39,-0.89,0.33,8827,Standing
199,0.34,-0.9,0.34,8867,Standing
200,0.36,-0.89,0.3,8924,Standing
201,0.4,-0.95,0.29,8965,Standing
202,0.39,-0.89,0.29,9005,Standing
203,0.37,-0.89,0.32,9047,Standing
204,0.37,-0.89,0.27,9090,Standing
205,0.39,-0.91,0.32,9133,Standing
206,0.37,-0.88,0.34,9176,Standing
207,0.39,-0.88,0.27,9216,Standing
208,0.39,-0.88,0.28,9259,Standing
209,0.36,-0.89,0.35,9302,Standing
210,0.39,-0.91,0.33,9345,Standing
211,0.39,-0.88,0.3,9388,Standing
212,0.39,-0.89,0.25,9430,Standing
213,0.39,-0.9,0.22,9473,Standing
214,0.39,-0.91,0.3,9516,Standing
215,0.36,-0.91,0.32,9559,Standing
216,0.37,-0.89,0.31,9602,Standing
